3.3V1:1
ADC_0:1
ADC_1:1
ADC_2:1
ADC_3:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D31:1
D32:1
D33:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:1
GND1:1
H1:1
H2:1
H22:1
H3:1
H4:1
H5:1
J1:1
J3:1
JP1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
SW10:1
SW11:1
SW12:1
SW13:1
SW14:1
SW15:1
SW16:1
SW17:1
SW18:1
SW19:1
SW2:1
SW20:1
SW21:1
SW22:1
SW23:1
SW24:1
SW25:1
SW26:1
SW27:1
SW28:1
SW29:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
U1:1
U10:1
U11:1
U12:1
U13:1
U14:1
U15:1
U16:1
U17:1
U18:1
U19:1
U2:1
U20:1
U21:1
U22:1
U23:1
U24:1
U25:1
U26:1
U27:1
U28:1
U29:1
U3:1
U30:1
U31:1
U32:1
U33:1
U34:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
X2:1
